Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
LU,*,*,3,55.69230769
LU,*,*,3.1,57.46923077
LU,*,*,3.2,59.24615385
LU,*,*,3.3,61.02307692
LU,*,*,3.4,62.8
LU,*,*,3.5,64.57692308
LU,*,*,3.6,66.35384615
LU,*,*,3.7,68.13076923
LU,*,*,3.8,69.90769231
LU,*,*,3.9,71.68461538
LU,*,*,4,73.46153846
NL,*,*,0.1,4.161538462
NL,*,*,0.2,5.938461538
NL,*,*,0.4,9.492307692
NL,*,*,0.5,11.26923077
NL,*,*,0.6,13.04615385
NL,*,*,0.8,16.6
NL,*,*,0.9,18.37692308
NL,*,*,1,20.15384615
NL,*,*,1.1,21.93076923
NL,*,*,1.2,23.70769231
NL,*,*,1.3,25.48461538
NL,*,*,1.4,27.26153846
NL,*,*,1.5,29.03846154
NL,*,*,1.6,30.81538462
NL,*,*,1.7,32.59230769
NL,*,*,1.8,34.36923077
NL,*,*,1.9,36.14615385
NL,*,*,2,37.92307692
NL,*,*,2.1,39.7
NL,*,*,2.2,41.47692308
NL,*,*,2.3,43.25384615
NL,*,*,2.4,45.03076923
NL,*,*,2.5,46.80769231
NL,*,*,2.6,48.58461538
NL,*,*,2.7,50.36153846
NL,*,*,2.8,52.13846154
NL,*,*,2.9,53.91538462
NL,*,*,3,55.69230769
NL,*,*,3.1,57.46923077
NL,*,*,3.2,59.24615385
NL,*,*,3.3,61.02307692
NL,*,*,3.4,62.8
NL,*,*,3.5,64.57692308
NL,*,*,3.6,66.35384615
NL,*,*,3.7,68.13076923
NL,*,*,3.8,69.90769231
NL,*,*,3.9,71.68461538
NL,*,*,4,73.46153846
NO,*,*,0.1,4.161538462
NO,*,*,0.2,5.938461538
NO,*,*,0.4,9.492307692
NO,*,*,0.5,11.26923077
NO,*,*,0.6,13.04615385
NO,*,*,0.8,16.6
NO,*,*,0.9,18.37692308
NO,*,*,1,20.15384615
NO,*,*,1.1,21.93076923
NO,*,*,1.2,23.70769231
NO,*,*,1.3,25.48461538
NO,*,*,1.4,27.26153846
NO,*,*,1.5,29.03846154
NO,*,*,1.6,30.81538462
NO,*,*,1.7,32.59230769
NO,*,*,1.8,34.36923077
NO,*,*,1.9,36.14615385
NO,*,*,2,37.92307692
NO,*,*,2.1,39.7
NO,*,*,2.2,41.47692308
NO,*,*,2.3,43.25384615
NO,*,*,2.4,45.03076923
NO,*,*,2.5,46.80769231
NO,*,*,2.6,48.58461538
NO,*,*,2.7,50.36153846
NO,*,*,2.8,52.13846154
NO,*,*,2.9,53.91538462
NO,*,*,3,55.69230769
NO,*,*,3.1,57.46923077
NO,*,*,3.2,59.24615385
NO,*,*,3.3,61.02307692
NO,*,*,3.4,62.8
NO,*,*,3.5,64.57692308
NO,*,*,3.6,66.35384615
NO,*,*,3.7,68.13076923
NO,*,*,3.8,69.90769231
NO,*,*,3.9,71.68461538
NO,*,*,4,73.46153846
PL,*,*,0.1,4.161538462
PL,*,*,0.2,5.938461538
PL,*,*,0.4,9.492307692
PL,*,*,0.5,11.26923077
PL,*,*,0.6,13.04615385
PL,*,*,0.8,16.6
PL,*,*,0.9,18.37692308
PL,*,*,1,20.15384615
PL,*,*,1.1,21.93076923
PL,*,*,1.2,23.70769231
PL,*,*,1.3,25.48461538
PL,*,*,1.4,27.26153846
PL,*,*,1.5,29.03846154
PL,*,*,1.6,30.81538462
PL,*,*,1.7,32.59230769
PL,*,*,1.8,34.36923077
PL,*,*,1.9,36.14615385
PL,*,*,2,37.92307692
PL,*,*,2.1,39.7
PL,*,*,2.2,41.47692308
PL,*,*,2.3,43.25384615
PL,*,*,2.4,45.03076923
PL,*,*,2.5,46.80769231
PL,*,*,2.6,48.58461538
PL,*,*,2.7,50.36153846
PL,*,*,2.8,52.13846154
PL,*,*,2.9,53.91538462
PL,*,*,3,55.69230769
PL,*,*,3.1,57.46923077
PL,*,*,3.2,59.24615385
PL,*,*,3.3,61.02307692
PL,*,*,3.4,62.8
PL,*,*,3.5,64.57692308
PL,*,*,3.6,66.35384615
PL,*,*,3.7,68.13076923
PL,*,*,3.8,69.90769231
PL,*,*,3.9,71.68461538
PL,*,*,4,73.46153846
PT,*,*,0.1,4.161538462
PT,*,*,0.2,5.938461538
PT,*,*,0.4,9.492307692
PT,*,*,0.5,11.26923077
PT,*,*,0.6,13.04615385
PT,*,*,0.8,16.6
PT,*,*,0.9,18.37692308
PT,*,*,1,20.15384615
PT,*,*,1.1,21.93076923
PT,*,*,1.2,23.70769231
PT,*,*,1.3,25.48461538
PT,*,*,1.4,27.26153846
PT,*,*,1.5,29.03846154
PT,*,*,1.6,30.81538462
PT,*,*,1.7,32.59230769
PT,*,*,1.8,34.36923077
PT,*,*,1.9,36.14615385
PT,*,*,2,37.92307692
PT,*,*,2.1,39.7
PT,*,*,2.2,41.47692308
PT,*,*,2.3,43.25384615
PT,*,*,2.4,45.03076923
PT,*,*,2.5,46.80769231
PT,*,*,2.6,48.58461538
PT,*,*,2.7,50.36153846
PT,*,*,2.8,52.13846154
PT,*,*,2.9,53.91538462
PT,*,*,3,55.69230769
PT,*,*,3.1,57.46923077
PT,*,*,3.2,59.24615385
PT,*,*,3.3,61.02307692
PT,*,*,3.4,62.8
PT,*,*,3.5,64.57692308
PT,*,*,3.6,66.35384615
PT,*,*,3.7,68.13076923
PT,*,*,3.8,69.90769231
PT,*,*,3.9,71.68461538
PT,*,*,4,73.46153846
RU,*,*,0.1,4.161538462
RU,*,*,0.2,5.938461538
RU,*,*,0.4,9.492307692
RU,*,*,0.5,11.26923077
RU,*,*,0.6,13.04615385
RU,*,*,0.8,16.6
RU,*,*,0.9,18.37692308
RU,*,*,1,20.15384615
RU,*,*,1.1,21.93076923
RU,*,*,1.2,23.70769231
RU,*,*,1.3,25.48461538
RU,*,*,1.4,27.26153846
RU,*,*,1.5,29.03846154
RU,*,*,1.6,30.81538462
RU,*,*,1.7,32.59230769
RU,*,*,1.8,34.36923077
RU,*,*,1.9,36.14615385
RU,*,*,2,37.92307692
RU,*,*,2.1,39.7
RU,*,*,2.2,41.47692308
RU,*,*,2.3,43.25384615
RU,*,*,2.4,45.03076923
RU,*,*,2.5,46.80769231
RU,*,*,2.6,48.58461538
RU,*,*,2.7,50.36153846
RU,*,*,2.8,52.13846154
RU,*,*,2.9,53.91538462
RU,*,*,3,55.69230769
RU,*,*,3.1,57.46923077
RU,*,*,3.2,59.24615385
RU,*,*,3.3,61.02307692
RU,*,*,3.4,62.8
RU,*,*,3.5,64.57692308
RU,*,*,3.6,66.35384615
RU,*,*,3.7,68.13076923
RU,*,*,3.8,69.90769231
RU,*,*,3.9,71.68461538
RU,*,*,4,73.46153846
SE,*,*,0.1,4.161538462
SE,*,*,0.2,5.938461538
SE,*,*,0.4,9.492307692
SE,*,*,0.5,11.26923077
SE,*,*,0.6,13.04615385
SE,*,*,0.8,16.6
SE,*,*,0.9,18.37692308
SE,*,*,1,20.15384615
SE,*,*,1.1,21.93076923
SE,*,*,1.2,23.70769231
SE,*,*,1.3,25.48461538
SE,*,*,1.4,27.26153846
SE,*,*,1.5,29.03846154
SE,*,*,1.6,30.81538462
SE,*,*,1.7,32.59230769
SE,*,*,1.8,34.36923077
SE,*,*,1.9,36.14615385
SE,*,*,2,37.92307692
SE,*,*,2.1,39.7
SE,*,*,2.2,41.47692308
