Country,Region/State,Zip/PostAN Code,Weight (and above),shipping fee price
BO,*,*,4.5,150
BO,*,*,4.6,153.2538462
BO,*,*,4.7,156.5076923
BO,*,*,4.8,159.7615385
BO,*,*,4.9,163.0153847
BO,*,*,5,166.2692307
BR,*,*,0.1,6.830769231
BR,*,*,0.2,10.08461538
BR,*,*,0.3,13.33846154
BR,*,*,0.4,16.59230769
BR,*,*,0.5,19.84615385
BR,*,*,0.6,23.1
BR,*,*,0.7,26.35384616
BR,*,*,0.8,29.60769231
BR,*,*,0.9,32.86153847
BR,*,*,1,36.11538462
BR,*,*,1.1,39.36923078
BR,*,*,1.2,42.62307693
BR,*,*,1.3,45.87692307
BR,*,*,1.4,49.13076923
BR,*,*,1.5,52.38461538
BR,*,*,1.6,55.63846154
BR,*,*,1.7,58.89230769
BR,*,*,1.8,62.14615385
BR,*,*,1.9,65.4
BR,*,*,2,68.65384616
BR,*,*,2.1,71.90769231
BR,*,*,2.2,75.16153847
BR,*,*,2.3,78.41538462
BR,*,*,2.4,81.66923078
BR,*,*,2.5,84.92307693
BR,*,*,2.6,88.17692307
BR,*,*,2.7,91.43076923
BR,*,*,2.8,94.68461538
BR,*,*,2.9,97.93846154
BR,*,*,3,101.1923077
BR,*,*,3.1,104.4461538
BR,*,*,3.2,107.7
BR,*,*,3.3,110.9538462
BR,*,*,3.4,114.2076923
BR,*,*,3.5,117.4615385
BR,*,*,3.6,120.7153846
BR,*,*,3.7,123.9692308
BR,*,*,3.8,127.2230769
BR,*,*,3.9,130.4769231
BR,*,*,4,133.7307692
BR,*,*,4.1,136.9846154
BR,*,*,4.2,140.2384615
BR,*,*,4.3,143.4923077
BR,*,*,4.4,146.7461538
BR,*,*,4.5,150
BR,*,*,4.6,153.2538462
BR,*,*,4.7,156.5076923
BR,*,*,4.8,159.7615385
BR,*,*,4.9,163.0153847
